animal,zero_crossings,spectral_centroids,spectral_rolloff,mfccs
cat,2426,70372.65530197737,107579.8828125,41
cat,3362,90411.73216298246,136391.30859375,41
cat,3844,106466.02011245216,175883.203125,41
cat,5748,242791.56480269192,499365.7470703125,171
cat,24223,836219.4981276675,1625476.904296875,436
cat,27943,629987.5321135995,1057258.740234375,216
cat,20649,673142.1883691519,1235338.330078125,491
cat,24336,968749.5065682839,2210458.6669921875,517
cat,28614,1038197.663111077,2294201.2939453125,517
cat,30364,1069380.9826219291,2352104.0771484375,517
cat,6679,309388.2002348777,782904.19921875,181
cat,6837,226755.81025667873,470845.01953125,91
cat,3320,173456.026646705,374462.40234375,169
cat,23968,872721.0935862061,1761136.083984375,509
cat,21866,847559.6704846666,1730074.4384765625,517
cat,15266,650919.9987772881,1394038.037109375,439
cat,4792,164007.87083745134,338545.01953125,84
cat,3951,116157.69772475582,189675.2197265625,91
cat,841,237064.0425791866,478887.6708984375,259
cat,7265,187552.85105860414,355459.3505859375,68
cat,17259,866548.3844282259,1998776.513671875,517
cat,18067,857193.9211934925,1986437.98828125,517
cat,7991,536791.5665317618,1134412.20703125,513
cat,9241,550212.2885734858,1032140.2587890625,517
cat,13948,631711.720144563,1152123.2666015625,517
cat,21559,849075.5070050485,1837137.5244140625,441
dog,25127,847310.8867938003,1353900.146484375,741
dog,21579,712554.4739733472,1256354.736328125,500
dog,21577,731009.3768502215,1326725.244140625,513
dog,6546,269872.4662526018,577563.57421875,147
dog,11479,369660.0092125524,624409.0576171875,311
dog,20677,644851.381354187,1026444.7265625,446
dog,12489,466757.573932254,844639.892578125,314
dog,7276,332827.37941818195,735886.4501953125,193
dog,3321,102963.88143776993,197728.6376953125,44
dog,2903,100277.53008201122,167862.0849609375,76
dog,2743,101011.56757167872,149569.62890625,108
dog,4683,223846.87886687252,313609.5703125,401
dog,3215,116761.35723301326,184324.21875,134
dog,6287,230539.72846740484,334206.0791015625,228
dog,8711,269705.2628443299,482462.1826171875,211
dog,8711,269705.2628443299,482462.1826171875,211
dog,3743,139354.1162719287,223396.2158203125,176
dog,4871,143346.88503510575,219961.669921875,134
dog,40029,1150701.092507589,1940400.0,561
dog,5269,165806.3441449153,246748.974609375,170
dog,12628,390670.14145130623,632710.107421875,354
dog,16419,524012.52435645147,974054.443359375,374
dog,2290,139659.20039602762,231029.736328125,122
dog,17080,606971.6175237915,1067497.7783203125,507
dog,8636,434616.224082582,851896.58203125,323
dog,34571,1311705.2429326982,2726383.447265625,646
dog,12339,464534.9160098809,785402.05078125,391
dog,1898,92663.406823589,159873.2666015625,85
dog,16113,576438.6749047033,889256.689453125,652
dog,9695,259190.46228497147,397589.0625,296
dog,4911,136346.5626243694,210250.1953125,148
dog,4245,118039.61157282548,188512.4267578125,128
dog,3841,102766.46796345027,163663.1103515625,114
dog,5473,153279.62567583882,226173.9990234375,167
dog,5287,148454.3324814845,232784.6923828125,163
dog,3913,115268.57427485686,188695.458984375,112
dog,8405,256657.74116346703,402315.6005859375,293
dog,8493,246953.24788652992,375991.259765625,266
dog,5017,146031.5920429261,231180.46875,157
dog,3485,93807.46406240978,133818.0908203125,93
dog,2785,82414.68864522173,118066.552734375,83
dog,3171,103769.13773621309,162909.4482421875,117
dog,3470,110331.74177028213,162112.7197265625,125
dog,3928,119900.75892128662,181449.5361328125,135
dog,5699,162620.88899140028,248934.5947265625,182
dog,5483,157458.54887654653,242087.0361328125,195
dog,8465,223847.58317684263,358269.43359375,255
dog,4838,157703.1734897349,267517.7490234375,202
dog,5047,147517.59632069175,222491.8212890625,173
dog,3935,118257.7248378918,175452.5390625,146
dog,3626,105815.82255339462,154748.3642578125,109
dog,4475,137061.57332884366,216010.3271484375,166
dog,2792,87909.17772112683,130071.3134765625,97
dog,7241,218571.1418149213,353133.7646484375,273
dog,4895,143775.9789882746,222933.251953125,164
dog,6480,178981.7559721279,279619.4091796875,194
dog,4179,127023.63746946318,197373.33984375,132
dog,3545,103287.99835389348,164438.3056640625,113
dog,4981,147794.1597395144,223600.78125,165
dog,4611,140285.4628905832,222018.0908203125,161
dog,3519,104467.58553400099,167819.0185546875,100
dog,4255,126746.34038396027,193540.4296875,139
dog,4709,136912.6157345456,215224.365234375,154
dog,5855,181676.59592524657,268809.7412109375,171
dog,4569,136690.87307998835,206955.615234375,150
dog,5133,151608.63788332712,236725.2685546875,168
dog,3849,117975.07191186791,177702.7587890625,122
dog,2985,89500.84228233487,128488.623046875,111
dog,6839,185864.91422292322,289481.6162109375,219
dog,5257,153308.08394393342,251217.1142578125,180
dog,5970,170154.64084935555,251238.6474609375,168
dog,7845,212335.11388000255,337468.359375,237
